personal_id,timestamp,latitude,longitude
ID007,11:28:14,33,19
ID009,15:36:13,96,9
ID003,21:48:44,63,98
ID006,21:39:53,55,25
ID005,13:32:08,20,84
ID001,15:25:13,42,64
ID004,18:38:42,35,99
ID005,14:10:48,78,11
ID014,18:02:57,53,15
ID014,15:21:35,15,48
ID007,13:30:43,10,33
ID014,10:06:22,39,59
ID014,11:28:46,8,65
ID004,13:24:40,46,33
ID002,11:38:16,88,26
ID013,15:45:22,31,52
ID001,16:51:19,27,79
ID012,12:19:29,65,77
ID012,14:58:25,68,81
ID006,17:35:31,65,34
ID009,17:22:15,37,7
ID008,18:31:19,97,62
ID010,16:55:15,53,28
ID011,10:26:18,90,44
ID006,11:51:29,32,19
ID008,11:21:37,66,81
ID002,18:45:05,2,42
ID006,13:46:06,64,70
ID012,17:08:34,8,14
ID004,11:17:35,7,87
ID011,19:34:16,79,77
ID003,13:23:27,22,35
ID013,11:41:51,66,84
ID006,11:48:43,4,12
ID015,19:32:25,24,35
ID007,16:43:46,13,19
ID006,18:29:06,40,64
ID001,10:55:07,61,72
ID001,13:30:31,69,64
ID011,17:34:34,78,49
ID015,20:58:20,90,51
ID007,11:06:43,31,38
ID003,14:52:27,92,57
ID006,15:36:49,18,17
ID008,18:24:59,30,89
ID003,15:25:12,31,62
ID013,19:15:11,38,85
ID007,11:28:58,53,34
ID004,15:40:19,3,28
ID011,21:50:24,65,20
ID001,21:19:44,42,73
ID006,14:31:50,99,93
ID011,17:44:08,66,84
ID008,13:27:39,1,9
ID008,18:15:57,8,91
ID004,18:22:01,49,91
ID006,20:50:27,32,39
ID007,13:08:50,35,20
ID011,16:10:01,57,93
ID004,17:30:08,66,55
ID014,11:18:58,73,12
ID006,14:00:28,58,51
ID006,13:10:34,68,22
ID007,16:45:03,11,22
ID007,10:37:09,73,92
ID008,16:02:12,25,54
ID004,14:01:34,37,47
ID014,20:37:29,46,40
ID010,21:17:14,16,53
ID003,19:13:30,5,91
ID005,19:19:21,57,70
ID014,17:29:16,72,41
ID005,21:20:46,46,22
ID015,16:56:20,59,30
ID014,10:29:26,100,67
ID003,12:01:39,27,38
ID002,15:14:31,59,22
ID004,11:26:10,12,34
ID015,16:42:15,24,88
ID002,16:28:40,76,89
ID006,19:25:26,66,84
